Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2020/2/12,15:00-9:00,星期三,0,145,42,17,86,63904,226
黄金吧,2020/2/12,9:00-15:00,星期三,1,34,9,1,24,11092,34
黄金吧,2020/2/13,15:00-9:00,星期四,0,221,50,34,137,66962,253
黄金吧,2020/2/13,9:00-15:00,星期四,1,65,21,4,40,16552,41
黄金吧,2020/2/14,15:00-9:00,星期五,0,182,56,29,97,66212,213
黄金吧,2020/2/14,9:00-15:00,星期五,1,59,13,10,36,16347,74
黄金吧,2020/2/14,15:00-24:00,星期五,0,181,59,24,98,63109,272
黄金吧,2020/2/15,0:00-24:00,星期六,0,49,18,4,27,40668,175
黄金吧,2020/2/16,0:00-24:00,星期日,0,28,11,2,15,30836,131
黄金吧,2020/2/17,0:00-9:00,星期一,0,39,14,4,21,26481,67
黄金吧,2020/2/17,9:00-15:00,星期一,1,39,10,4,25,10578,35
黄金吧,2020/2/18,15:00-9:00,星期二,0,139,43,18,78,45608,122
黄金吧,2020/2/18,9:00-15:00,星期二,1,56,13,14,29,20816,68
黄金吧,2020/2/19,15:00-9:00,星期三,0,510,169,75,266,155809,597
黄金吧,2020/2/19,9:00-15:00,星期三,1,69,17,9,43,18158,75
黄金吧,2020/2/20,15:00-9:00,星期四,0,595,168,108,319,165297,633
黄金吧,2020/2/20,9:00-15:00,星期四,1,91,21,11,59,22191,112
黄金吧,2020/2/21,15:00-9:00,星期五,0,688,204,111,373,240231,1122
黄金吧,2020/2/21,9:00-15:00,星期五,1,160,51,24,85,31844,214
黄金吧,2020/2/21,15:00-24:00,星期五,0,839,240,161,438,205170,1104
黄金吧,2020/2/22,0:00-24:00,星期六,0,152,46,10,96,119764,365
黄金吧,2020/2/23,0:00-24:00,星期日,0,52,17,0,35,49104,224
黄金吧,2020/2/24,0:00-9:00,星期一,0,307,91,52,164,94432,334
黄金吧,2020/2/24,9:00-15:00,星期一,1,129,52,15,62,29185,155
黄金吧,2020/2/25,15:00-9:00,星期二,0,1375,356,268,751,302587,1812
黄金吧,2020/2/25,9:00-15:00,星期二,1,153,52,20,81,29354,153
黄金吧,2020/2/26,15:00-9:00,星期三,0,867,240,122,505,181876,742
黄金吧,2020/2/26,9:00-15:00,星期三,1,153,44,23,86,36229,162
黄金吧,2020/2/27,15:00-9:00,星期四,0,717,187,122,408,156789,847
黄金吧,2020/2/27,9:00-15:00,星期四,1,134,32,19,83,26398,138
黄金吧,2020/2/28,15:00-9:00,星期五,0,975,253,160,562,169535,790
黄金吧,2020/2/28,9:00-15:00,星期五,1,219,51,25,143,48732,227
黄金吧,2020/2/28,15:00-24:00,星期五,0,1131,191,220,720,146735,586
黄金吧,2020/2/29,0:00-24:00,星期六,0,454,89,68,297,166403,541
黄金吧,2020/3/1,0:00-24:00,星期日,0,85,14,6,65,51820,120
黄金吧,2020/3/2,0:00-9:00,星期一,0,169,44,22,103,42887,144
黄金吧,2020/3/2,9:00-15:00,星期一,1,156,43,28,85,38854,172
黄金吧,2020/3/3,15:00-9:00,星期二,0,458,117,72,269,103794,463
黄金吧,2020/3/3,9:00-15:00,星期二,1,84,21,15,48,18072,67
黄金吧,2020/3/4,15:00-9:00,星期三,0,802,229,139,434,125934,411
黄金吧,2020/3/4,9:00-15:00,星期三,1,88,22,17,49,20149,71
黄金吧,2020/3/5,15:00-9:00,星期四,0,390,110,64,216,77826,304
黄金吧,2020/3/5,9:00-15:00,星期四,1,56,20,8,28,12497,48
黄金吧,2020/3/6,15:00-9:00,星期五,0,619,230,70,319,135765,614
黄金吧,2020/3/6,9:00-15:00,星期五,1,165,55,23,87,38099,183
黄金吧,2020/3/6,15:00-24:00,星期五,0,1276,276,295,705,205119,769
黄金吧,2020/3/7,0:00-24:00,星期六,0,200,51,36,113,78065,204
黄金吧,2020/3/8,0:00-24:00,星期日,0,56,16,4,36,32728,103
黄金吧,2020/3/9,0:00-9:00,星期一,0,245,87,36,122,55338,226
黄金吧,2020/3/9,9:00-15:00,星期一,1,346,80,73,193,69140,288
黄金吧,2020/3/10,15:00-9:00,星期二,0,803,172,109,522,132997,610
黄金吧,2020/3/10,9:00-15:00,星期二,1,112,24,19,69,22655,72
黄金吧,2020/3/11,15:00-9:00,星期三,0,321,74,51,196,75508,266
黄金吧,2020/3/11,9:00-15:00,星期三,1,80,26,4,50,19021,46
黄金吧,2020/3/12,15:00-9:00,星期四,0,474,88,84,302,112286,406
黄金吧,2020/3/12,9:00-15:00,星期四,1,122,27,16,79,43793,121
黄金吧,2020/3/13,15:00-9:00,星期五,0,1468,287,249,932,217663,627
黄金吧,2020/3/13,9:00-15:00,星期五,1,139,42,22,75,31193,121
黄金吧,2020/3/13,15:00-24:00,星期五,0,296,60,31,205,72215,279
黄金吧,2020/3/14,0:00-24:00,星期六,0,238,40,38,160,111597,244
黄金吧,2020/3/15,0:00-24:00,星期日,0,48,10,1,37,25470,88
黄金吧,2020/3/16,0:00-9:00,星期一,0,131,23,18,90,37254,176
黄金吧,2020/3/16,9:00-15:00,星期一,1,101,27,17,57,33141,129
黄金吧,2020/3/17,15:00-9:00,星期二,0,1218,263,243,712,196111,973
黄金吧,2020/3/17,9:00-15:00,星期二,1,98,18,22,58,25349,69
黄金吧,2020/3/18,15:00-9:00,星期三,0,682,182,121,379,131122,528
黄金吧,2020/3/18,9:00-15:00,星期三,1,66,11,12,43,26152,105
黄金吧,2020/3/19,15:00-9:00,星期四,0,539,123,87,329,111443,422
黄金吧,2020/3/19,9:00-15:00,星期四,1,94,21,13,60,23344,80
黄金吧,2020/3/20,15:00-9:00,星期五,0,218,50,39,129,52824,197
黄金吧,2020/3/20,9:00-15:00,星期五,1,47,15,2,30,19722,45
黄金吧,2020/3/20,15:00-24:00,星期五,0,140,43,17,80,32200,167
黄金吧,2020/3/21,0:00-24:00,星期六,0,54,16,6,32,13249,57
黄金吧,2020/3/22,0:00-24:00,星期日,0,28,10,1,17,9199,37
黄金吧,2020/3/23,0:00-9:00,星期一,0,71,26,9,36,11787,79
黄金吧,2020/3/23,9:00-15:00,星期一,1,50,14,9,27,11024,50
黄金吧,2020/3/24,15:00-9:00,星期二,0,573,201,85,287,77123,442
黄金吧,2020/3/24,9:00-15:00,星期二,1,136,36,17,83,23235,194
黄金吧,2020/3/25,15:00-9:00,星期三,0,1621,440,326,855,211942,1215
黄金吧,2020/3/25,9:00-15:00,星期三,1,163,39,30,94,32376,215
黄金吧,2020/3/26,15:00-9:00,星期四,0,598,150,103,345,91793,598
黄金吧,2020/3/26,9:00-15:00,星期四,1,107,26,16,65,19661,92
黄金吧,2020/3/27,15:00-9:00,星期五,0,526,157,77,292,76043,508
黄金吧,2020/3/27,9:00-15:00,星期五,1,68,15,12,41,20967,129
黄金吧,2020/3/27,15:00-24:00,星期五,0,299,79,58,162,43788,318
黄金吧,2020/3/28,0:00-24:00,星期六,0,207,62,16,129,78076,406
黄金吧,2020/3/29,0:00-24:00,星期日,0,72,20,4,48,28298,206
黄金吧,2020/3/30,0:00-9:00,星期一,0,102,25,11,66,23749,125
黄金吧,2020/3/30,9:00-15:00,星期一,1,97,24,15,58,18594,70
黄金吧,2020/3/31,15:00-9:00,星期二,0,247,58,34,155,44388,278
黄金吧,2020/3/31,9:00-15:00,星期二,1,66,16,10,40,16610,83
黄金吧,2020/4/1,15:00-9:00,星期三,0,403,80,69,254,74703,439
黄金吧,2020/4/1,9:00-15:00,星期三,1,148,46,21,81,35207,82
黄金吧,2020/4/2,15:00-9:00,星期四,0,487,113,87,287,100735,409
黄金吧,2020/4/2,9:00-15:00,星期四,1,130,38,14,78,29846,114
黄金吧,2020/4/3,15:00-9:00,星期五,0,500,163,61,276,83791,717
黄金吧,2020/4/3,9:00-15:00,星期五,1,108,26,23,59,23814,77
黄金吧,2020/4/3,15:00-24:00,星期五,0,264,72,32,160,50887,300
黄金吧,2020/4/4,0:00-24:00,星期六,0,61,15,6,40,17155,95
黄金吧,2020/4/5,0:00-24:00,星期日,0,29,7,1,21,12457,36
黄金吧,2020/4/6,0:00-9:00,星期一,0,63,19,5,39,16270,62
黄金吧,2020/4/6,9:00-15:00,星期一,1,147,38,19,90,36710,156
黄金吧,2020/4/7,15:00-9:00,星期二,0,879,279,130,470,152468,930
黄金吧,2020/4/7,9:00-15:00,星期二,1,156,47,25,84,37323,110
黄金吧,2020/4/8,15:00-9:00,星期三,0,441,124,72,245,72206,398
黄金吧,2020/4/8,9:00-15:00,星期三,1,95,35,2,58,23793,69
黄金吧,2020/4/9,15:00-9:00,星期四,0,295,81,51,163,56734,286
黄金吧,2020/4/9,9:00-15:00,星期四,1,93,25,13,55,20559,65
黄金吧,2020/4/10,15:00-9:00,星期五,0,813,273,117,423,114268,877
黄金吧,2020/4/10,9:00-15:00,星期五,1,74,18,10,46,23898,94
黄金吧,2020/4/10,15:00-24:00,星期五,0,48,16,2,30,11434,63
黄金吧,2020/4/11,0:00-24:00,星期六,0,30,9,2,19,12576,56
黄金吧,2020/4/12,0:00-24:00,星期日,0,31,9,3,19,9191,59
黄金吧,2020/4/13,0:00-9:00,星期一,0,82,24,12,46,19346,111
黄金吧,2020/4/13,9:00-15:00,星期一,1,121,32,13,76,28989,109
黄金吧,2020/4/14,15:00-9:00,星期二,0,375,129,34,212,77197,391
黄金吧,2020/4/14,9:00-15:00,星期二,1,209,54,24,131,49993,169
黄金吧,2020/4/15,15:00-9:00,星期三,0,559,151,85,323,106510,492
黄金吧,2020/4/15,9:00-15:00,星期三,1,144,36,14,94,34524,102
黄金吧,2020/4/16,15:00-9:00,星期四,0,388,111,65,212,67109,282
黄金吧,2020/4/16,9:00-15:00,星期四,1,115,23,9,83,25413,112
黄金吧,2020/4/17,15:00-9:00,星期五,0,472,140,81,251,75901,320
黄金吧,2020/4/17,9:00-15:00,星期五,1,161,31,14,116,32256,108
黄金吧,2020/4/17,15:00-24:00,星期五,0,258,61,50,147,49328,206
黄金吧,2020/4/18,0:00-24:00,星期六,0,79,15,15,49,25372,98
黄金吧,2020/4/19,0:00-24:00,星期日,0,45,11,5,29,16851,44
黄金吧,2020/4/20,0:00-9:00,星期一,0,58,13,16,29,13351,43
黄金吧,2020/4/20,9:00-15:00,星期一,1,136,33,17,86,28823,93
黄金吧,2020/4/21,15:00-9:00,星期二,0,363,98,63,202,65820,290
黄金吧,2020/4/21,9:00-15:00,星期二,1,126,48,11,67,29016,78
黄金吧,2020/4/22,15:00-9:00,星期三,0,644,140,103,401,118346,582
黄金吧,2020/4/22,9:00-15:00,星期三,1,132,43,16,73,32409,99
黄金吧,2020/4/23,15:00-9:00,星期四,0,400,111,53,236,83202,426
黄金吧,2020/4/23,9:00-15:00,星期四,1,144,46,14,84,31587,125
黄金吧,2020/4/24,15:00-9:00,星期五,0,391,112,51,228,78230,350
黄金吧,2020/4/24,9:00-15:00,星期五,1,152,52,28,72,32299,87
黄金吧,2020/4/24,15:00-24:00,星期五,0,296,76,48,172,54598,202
黄金吧,2020/4/25,0:00-24:00,星期六,0,75,18,6,51,23920,69
黄金吧,2020/4/26,0:00-24:00,星期日,0,36,19,1,16,17378,30
黄金吧,2020/4/27,0:00-9:00,星期一,0,31,11,3,17,11725,51
黄金吧,2020/4/27,9:00-15:00,星期一,1,113,26,12,75,31154,64
黄金吧,2020/4/28,15:00-9:00,星期二,0,338,56,59,223,70790,203
黄金吧,2020/4/28,9:00-15:00,星期二,1,133,31,14,88,30439,82
黄金吧,2020/4/29,15:00-9:00,星期三,0,265,69,39,157,57038,234
黄金吧,2020/4/29,9:00-15:00,星期三,1,102,36,4,62,28183,42
