Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
600766,园城黄金,2020-04-06,23,7,3,13,11473,32
600766,园城黄金,2020-04-07,113,28,31,54,24281,92
600766,园城黄金,2020-04-08,79,20,10,49,21895,92
600766,园城黄金,2020-04-09,85,19,14,52,18144,66
600766,园城黄金,2020-04-10,161,36,38,87,30476,152
600766,园城黄金,2020-04-11,12,3,1,8,3518,10
600766,园城黄金,2020-04-12,14,2,2,10,6802,32
600766,园城黄金,2020-04-13,104,24,27,53,30874,187
600766,园城黄金,2020-04-14,142,37,31,74,31548,147
600766,园城黄金,2020-04-15,141,36,26,79,38107,181
600766,园城黄金,2020-04-16,104,26,18,60,21136,95
600766,园城黄金,2020-04-17,110,23,23,64,21445,194
600766,园城黄金,2020-04-18,5,2,2,1,1618,5
600766,园城黄金,2020-04-19,8,1,0,7,2874,25
600766,园城黄金,2020-04-20,78,26,13,39,23836,123
600766,园城黄金,2020-04-21,74,10,20,44,19712,72
600766,园城黄金,2020-04-22,86,21,20,45,18994,91
600766,园城黄金,2020-04-23,129,34,18,77,33568,139
600766,园城黄金,2020-04-24,94,24,20,50,20905,49
600766,园城黄金,2020-04-25,13,7,0,6,5732,15
600766,园城黄金,2020-04-26,16,4,3,9,6563,6
600766,园城黄金,2020-04-27,146,33,33,80,29965,120
600766,园城黄金,2020-04-28,125,23,30,72,28623,133
600766,园城黄金,2020-04-29,110,17,30,63,22494,98
600766,园城黄金,2020-04-30,81,12,22,47,15583,71
600766,园城黄金,2020-05-01,5,2,1,2,1301,2
600766,园城黄金,2020-05-02,4,3,0,1,1404,6
600766,园城黄金,2020-05-03,1,0,0,1,326,1
600766,园城黄金,2020-05-04,3,2,1,0,783,3
600766,园城黄金,2020-05-05,4,2,1,1,1281,4
600766,园城黄金,2020-05-06,48,6,10,32,11830,27
600766,园城黄金,2020-05-07,72,16,16,40,17572,73
600766,园城黄金,2020-05-08,79,20,20,39,16717,64
600766,园城黄金,2020-05-09,6,2,0,4,1955,7
600766,园城黄金,2020-05-10,3,0,1,2,1414,3
600766,园城黄金,2020-05-11,57,10,20,27,13498,51
600766,园城黄金,2020-05-12,60,12,9,39,16011,60
600766,园城黄金,2020-05-13,71,14,14,43,16233,94
600766,园城黄金,2020-05-14,122,23,19,80,21064,59
600766,园城黄金,2020-05-15,130,29,26,75,21914,121
600766,园城黄金,2020-05-16,7,3,1,3,3148,24
600766,园城黄金,2020-05-17,7,1,2,4,4343,16
600766,园城黄金,2020-05-18,130,22,22,86,29838,117
600766,园城黄金,2020-05-19,82,11,17,54,17485,47
600766,园城黄金,2020-05-20,53,8,8,37,16028,78
600766,园城黄金,2020-05-21,102,31,20,51,21715,121
600766,园城黄金,2020-05-22,68,20,17,31,17336,63
600766,园城黄金,2020-05-23,7,3,1,3,5017,27
600766,园城黄金,2020-05-24,3,1,0,2,720,0
600766,园城黄金,2020-05-25,40,10,3,27,11421,53
600766,园城黄金,2020-05-26,47,12,7,28,9830,63
600766,园城黄金,2020-05-27,47,11,5,31,10167,37
600766,园城黄金,2020-05-28,45,12,8,25,8522,28
600766,园城黄金,2020-05-29,45,13,16,16,7766,32
600766,园城黄金,2020-05-30,6,3,1,2,2113,6
600766,园城黄金,2020-05-31,2,0,1,1,816,1
600766,园城黄金,2020-06-01,43,7,6,30,11190,73
600766,园城黄金,2020-06-02,56,15,8,33,11205,55
600766,园城黄金,2020-06-03,69,24,10,35,11713,67
600766,园城黄金,2020-06-04,66,23,7,36,12146,45
600766,园城黄金,2020-06-05,30,12,5,13,6337,29
600766,园城黄金,2020-06-06,6,2,0,4,1457,2
600766,园城黄金,2020-06-08,25,6,0,19,7560,31
600766,园城黄金,2020-06-09,26,5,5,16,6343,24
600766,园城黄金,2020-06-10,46,11,10,25,9640,52
600766,园城黄金,2020-06-11,73,24,15,34,11621,38
600766,园城黄金,2020-06-12,76,17,16,43,12029,67
600766,园城黄金,2020-06-13,12,2,1,9,2558,6
600766,园城黄金,2020-06-14,11,3,0,8,3627,7
600766,园城黄金,2020-06-15,57,14,8,35,10755,46
600766,园城黄金,2020-06-16,38,15,3,20,8514,43
600766,园城黄金,2020-06-17,37,9,10,18,7815,21
600766,园城黄金,2020-06-18,48,11,11,26,8587,33
600766,园城黄金,2020-06-19,70,12,17,41,10779,46
600766,园城黄金,2020-06-20,9,3,0,6,1718,1
600766,园城黄金,2020-06-21,6,2,0,4,2297,8
600766,园城黄金,2020-06-22,77,18,19,40,13241,43
600766,园城黄金,2020-06-23,67,15,14,38,11526,41
600766,园城黄金,2020-06-24,91,29,9,53,13444,57
600766,园城黄金,2020-06-25,9,3,2,4,1865,5
600766,园城黄金,2020-06-26,6,2,1,3,2256,11
600766,园城黄金,2020-06-27,7,2,1,4,2176,9
600766,园城黄金,2020-06-28,1,0,0,1,442,0
600766,园城黄金,2020-06-29,57,9,11,37,9961,42
600766,园城黄金,2020-06-30,79,9,13,57,13312,70
600766,园城黄金,2020-07-01,58,12,5,41,9051,50
