Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
000975,银泰黄金,2022-01-01,5,2,0,3,2201,2
002155,湖南黄金,2022-01-01,6,2,0,4,4066,30
600489,中金黄金,2022-01-01,11,2,1,8,15288,154
600547,山东黄金,2022-01-01,11,5,2,4,7691,40
600916,中国黄金,2022-01-01,6,2,0,4,2496,13
600988,赤峰黄金,2022-01-01,22,9,0,13,14121,60
601069,西部黄金,2022-01-01,6,5,0,1,2368,2
000975,银泰黄金,2022-01-02,3,1,0,2,1897,6
002155,湖南黄金,2022-01-02,10,2,2,6,6814,20
600489,中金黄金,2022-01-02,3,0,0,3,3059,8
600547,山东黄金,2022-01-02,2,2,0,0,795,0
600916,中国黄金,2022-01-02,2,0,0,2,703,0
600988,赤峰黄金,2022-01-02,9,4,1,4,4468,23
601069,西部黄金,2022-01-02,1,1,0,0,241,0
000975,银泰黄金,2022-01-03,7,1,1,5,3139,8
002155,湖南黄金,2022-01-03,18,3,4,11,6137,27
600489,中金黄金,2022-01-03,9,2,0,7,3264,14
600547,山东黄金,2022-01-03,10,4,3,3,3639,14
600916,中国黄金,2022-01-03,4,1,0,3,910,2
600988,赤峰黄金,2022-01-03,40,10,6,24,15952,90
601069,西部黄金,2022-01-03,2,1,0,1,691,0
000975,银泰黄金,2022-01-04,19,7,4,8,5736,29
002155,湖南黄金,2022-01-04,100,17,22,61,20702,147
600489,中金黄金,2022-01-04,33,5,7,21,8889,83
600547,山东黄金,2022-01-04,27,11,5,11,9873,57
600916,中国黄金,2022-01-04,20,7,4,9,4192,15
600988,赤峰黄金,2022-01-04,90,26,17,47,26594,108
601069,西部黄金,2022-01-04,32,6,5,21,12866,89
000975,银泰黄金,2022-01-05,26,6,5,15,6753,12
002155,湖南黄金,2022-01-05,77,21,15,41,27825,170
600489,中金黄金,2022-01-05,48,17,4,27,13760,117
600547,山东黄金,2022-01-05,39,17,1,21,11266,29
600916,中国黄金,2022-01-05,32,9,9,14,6284,22
600988,赤峰黄金,2022-01-05,69,24,5,40,23718,159
601069,西部黄金,2022-01-05,35,5,7,23,9318,24
000975,银泰黄金,2022-01-06,38,10,6,22,10447,31
002155,湖南黄金,2022-01-06,94,21,32,41,22389,151
600489,中金黄金,2022-01-06,56,18,13,25,16058,208
600547,山东黄金,2022-01-06,49,20,10,19,17919,133
600916,中国黄金,2022-01-06,34,5,9,20,7820,39
600988,赤峰黄金,2022-01-06,89,24,20,45,21891,108
601069,西部黄金,2022-01-06,25,6,5,14,7456,31
000975,银泰黄金,2022-01-07,52,10,14,28,12290,29
002155,湖南黄金,2022-01-07,72,16,14,42,22085,215
600489,中金黄金,2022-01-07,55,19,4,32,24936,122
600547,山东黄金,2022-01-07,51,17,11,23,20726,103
600916,中国黄金,2022-01-07,23,4,5,14,7329,68
600988,赤峰黄金,2022-01-07,66,12,18,36,21513,213
601069,西部黄金,2022-01-07,26,6,2,18,6453,17
000975,银泰黄金,2022-01-08,3,1,0,2,2077,5
002155,湖南黄金,2022-01-08,10,4,2,4,4888,21
600489,中金黄金,2022-01-08,10,3,2,5,4771,14
600547,山东黄金,2022-01-08,13,1,4,8,6305,25
600916,中国黄金,2022-01-08,8,4,1,3,3891,21
600988,赤峰黄金,2022-01-08,12,1,1,10,7663,41
601069,西部黄金,2022-01-08,6,3,1,2,2237,6
000975,银泰黄金,2022-01-09,4,1,0,3,2826,18
002155,湖南黄金,2022-01-09,12,1,1,10,9393,41
600489,中金黄金,2022-01-09,6,2,0,4,3169,7
600547,山东黄金,2022-01-09,13,4,0,9,8959,31
600916,中国黄金,2022-01-09,1,1,0,0,492,0
600988,赤峰黄金,2022-01-09,8,2,0,6,3406,10
601069,西部黄金,2022-01-09,10,1,2,7,3261,3
000975,银泰黄金,2022-01-10,33,15,4,14,9477,20
002155,湖南黄金,2022-01-10,83,9,31,43,22526,128
600489,中金黄金,2022-01-10,32,12,2,18,7955,57
600547,山东黄金,2022-01-10,47,17,7,23,15940,86
600916,中国黄金,2022-01-10,31,12,4,15,7301,25
600988,赤峰黄金,2022-01-10,66,16,13,37,19589,147
601069,西部黄金,2022-01-10,28,5,4,19,7507,49
000975,银泰黄金,2022-01-11,30,10,2,18,10258,47
002155,湖南黄金,2022-01-11,76,18,14,44,23756,129
600489,中金黄金,2022-01-11,67,12,20,35,17542,71
600547,山东黄金,2022-01-11,69,23,10,36,16920,98
600916,中国黄金,2022-01-11,32,8,6,18,7116,54
600988,赤峰黄金,2022-01-11,71,28,15,28,17073,115
601069,西部黄金,2022-01-11,22,6,1,15,5590,15
000975,银泰黄金,2022-01-12,19,6,2,11,5592,24
002155,湖南黄金,2022-01-12,102,26,27,49,24676,211
600489,中金黄金,2022-01-12,79,22,17,40,15172,94
600547,山东黄金,2022-01-12,74,25,14,35,16260,110
600916,中国黄金,2022-01-12,28,8,9,11,6686,43
600988,赤峰黄金,2022-01-12,98,29,17,52,22296,137
601069,西部黄金,2022-01-12,29,11,3,15,6555,20
000975,银泰黄金,2022-01-13,40,11,5,24,10877,40
002155,湖南黄金,2022-01-13,123,26,19,78,36662,282
600489,中金黄金,2022-01-13,89,16,18,55,20206,163
600547,山东黄金,2022-01-13,90,32,14,44,21488,98
600916,中国黄金,2022-01-13,28,9,5,14,6381,54
600988,赤峰黄金,2022-01-13,74,25,10,39,17192,84
601069,西部黄金,2022-01-13,16,6,3,7,3884,15
000975,银泰黄金,2022-01-14,16,8,3,5,5752,16
002155,湖南黄金,2022-01-14,111,22,27,62,22792,175
600489,中金黄金,2022-01-14,58,11,12,35,16124,89
600547,山东黄金,2022-01-14,52,15,11,26,15579,61
600916,中国黄金,2022-01-14,20,6,6,8,6843,23
600988,赤峰黄金,2022-01-14,46,9,12,25,12147,87
601069,西部黄金,2022-01-14,24,9,5,10,6262,32
000975,银泰黄金,2022-01-15,3,0,1,2,1343,2
002155,湖南黄金,2022-01-15,5,1,0,4,6113,22
600489,中金黄金,2022-01-15,9,3,0,6,6910,22
600547,山东黄金,2022-01-15,5,0,2,3,2351,1
600916,中国黄金,2022-01-15,7,0,1,6,2192,17
600988,赤峰黄金,2022-01-15,8,2,1,5,2999,10
601069,西部黄金,2022-01-15,6,0,1,5,1524,1
000975,银泰黄金,2022-01-16,2,1,0,1,790,1
002155,湖南黄金,2022-01-16,11,4,0,7,4308,34
600489,中金黄金,2022-01-16,16,3,3,10,5941,39
600547,山东黄金,2022-01-16,4,1,2,1,2324,8
600916,中国黄金,2022-01-16,5,1,1,3,1056,3
600988,赤峰黄金,2022-01-16,7,1,0,6,1856,4
601069,西部黄金,2022-01-16,4,2,0,2,1236,5
000975,银泰黄金,2022-01-17,14,7,1,6,3940,27
002155,湖南黄金,2022-01-17,60,17,7,36,16711,172
600489,中金黄金,2022-01-17,62,11,12,39,13999,87
600547,山东黄金,2022-01-17,41,8,9,24,8232,22
600916,中国黄金,2022-01-17,37,11,10,16,6168,45
600988,赤峰黄金,2022-01-17,83,20,15,48,27136,220
601069,西部黄金,2022-01-17,15,3,3,9,2882,16
000975,银泰黄金,2022-01-18,21,5,0,16,5045,16
002155,湖南黄金,2022-01-18,70,13,16,41,16114,165
600489,中金黄金,2022-01-18,49,10,10,29,13260,107
600547,山东黄金,2022-01-18,46,8,13,25,11419,28
600916,中国黄金,2022-01-18,34,8,6,20,6896,47
600988,赤峰黄金,2022-01-18,93,25,16,52,23182,166
601069,西部黄金,2022-01-18,19,5,3,11,4463,20
000975,银泰黄金,2022-01-19,22,9,4,9,6058,26
002155,湖南黄金,2022-01-19,59,22,8,29,12515,73
600489,中金黄金,2022-01-19,53,21,6,26,9441,40
600547,山东黄金,2022-01-19,67,21,11,35,14293,48
600916,中国黄金,2022-01-19,30,2,2,26,6374,62
600988,赤峰黄金,2022-01-19,45,11,7,27,9734,86
601069,西部黄金,2022-01-19,29,9,8,12,5687,27
000975,银泰黄金,2022-01-20,42,14,7,21,9578,44
002155,湖南黄金,2022-01-20,91,22,10,59,23660,150
600489,中金黄金,2022-01-20,103,40,6,57,21001,176
600547,山东黄金,2022-01-20,90,33,13,44,20736,92
600916,中国黄金,2022-01-20,48,8,9,31,7462,41
600988,赤峰黄金,2022-01-20,83,19,18,46,20979,145
601069,西部黄金,2022-01-20,35,13,2,20,8433,37
000975,银泰黄金,2022-01-21,28,7,5,16,9754,35
002155,湖南黄金,2022-01-21,83,23,11,49,19870,113
600489,中金黄金,2022-01-21,46,12,5,29,11442,66
600547,山东黄金,2022-01-21,47,19,2,26,12510,73
600916,中国黄金,2022-01-21,41,6,6,29,6703,50
600988,赤峰黄金,2022-01-21,59,22,12,25,13625,102
601069,西部黄金,2022-01-21,22,5,6,11,5731,43
000975,银泰黄金,2022-01-22,3,1,0,2,1193,1
002155,湖南黄金,2022-01-22,6,4,0,2,2389,11
600489,中金黄金,2022-01-22,9,2,1,6,5688,22
600547,山东黄金,2022-01-22,17,6,0,11,9510,41
600916,中国黄金,2022-01-22,18,7,0,11,5931,51
600988,赤峰黄金,2022-01-22,7,3,0,4,4717,30
601069,西部黄金,2022-01-22,4,1,1,2,1336,6
000975,银泰黄金,2022-01-23,4,2,0,2,1672,1
002155,湖南黄金,2022-01-23,11,4,2,5,3646,15
600489,中金黄金,2022-01-23,15,5,0,10,7471,40
