Name,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2020-12-20,14,1,2,11,7419,20
黄金吧,2020-12-21,407,82,89,236,70884,327
黄金吧,2020-12-22,268,63,46,159,54159,248
黄金吧,2020-12-23,236,46,31,159,42504,234
黄金吧,2020-12-24,186,46,16,124,35614,114
黄金吧,2020-12-25,38,13,5,20,7671,34
黄金吧,2020-12-26,8,2,1,5,1215,4
黄金吧,2020-12-27,16,4,1,11,8495,20
黄金吧,2020-12-28,314,91,35,188,54456,230
黄金吧,2020-12-29,224,52,27,145,35444,152
黄金吧,2020-12-30,199,37,35,127,36307,197
黄金吧,2020-12-31,196,67,32,97,33687,115
